report,date,tactic,technique_id,technique_name,level,also_valid_under,source
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Execution,T1569.002,Service Execution,sub-technique,,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Privilege Escalation,T1134,Access Token Manipulation,technique,Stealth,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Defense Impairment,T1112,Modify Registry,technique,Persistence,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Defense Impairment,T1686,Disable or Modify System Firewall,technique,,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Credential Access,T1003.001,LSASS Memory,sub-technique,,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Discovery,T1018,Remote System Discovery,technique,,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Discovery,T1069.002,Domain Groups,sub-technique,,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Discovery,T1087.001,Local Account,sub-technique,,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Lateral Movement,T1021.001,Remote Desktop Protocol,sub-technique,,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Command and Control,T1071,Application Layer Protocol,technique,,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Command and Control,T1219,Remote Access Tools,technique,,sheet (OCR)
Apache ActiveMQ Exploit Leads to LockBit Ransomware,2026-02-23,Impact,T1486,Data Encrypted for Impact,technique,,sheet (OCR)
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Initial Access,T1189,Drive-by Compromise,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Execution,T1047,Windows Management Instrumentation,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Execution,T1059.001,PowerShell,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Execution,T1059.003,Windows Command Shell,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Execution,T1204.002,Malicious File,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Execution,T1569.002,Service Execution,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Persistence,T1136,Create Account,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Persistence,T1543.003,Windows Service,sub-technique,Privilege Escalation,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Stealth,T1027.010,Command Obfuscation,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Stealth,T1036,Masquerading,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Stealth,T1055,Process Injection,technique,Privilege Escalation,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Stealth,T1070.004,File Deletion,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Stealth,T1574.001,DLL,sub-technique,Execution,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Credential Access,T1003.001,LSASS Memory,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Credential Access,T1003.003,NTDS,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Credential Access,T1555,Credentials from Password Stores,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1016,System Network Configuration Discovery,technique,,sheet only
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1018,Remote System Discovery,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1033,System Owner/User Discovery,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1046,Network Service Discovery,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1069.001,Local Groups,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1069.002,Domain Groups,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1082,System Information Discovery,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1083,File and Directory Discovery,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1087.001,Local Account,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1087.002,Domain Account,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1135,Network Share Discovery,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Discovery,T1482,Domain Trust Discovery,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Lateral Movement,T1021.001,Remote Desktop Protocol,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Lateral Movement,T1021.003,Distributed Component Object Model,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Collection,T1039,Data from Network Shared Drive,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Command and Control,T1071.001,Web Protocols,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Command and Control,T1090,Proxy,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Command and Control,T1219,Remote Access Tools,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Command and Control,T1568.002,Domain Generation Algorithms,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Exfiltration,T1041,Exfiltration Over C2 Channel,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Exfiltration,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,sub-technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Impact,T1486,Data Encrypted for Impact,technique,,report
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,2026-06-29,Impact,T1490,Inhibit System Recovery,technique,,report
Part 1 BengalSEO,2026-08-24,Resource Development,T1583.001,Domains,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Resource Development,T1583.006,Web Services,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Resource Development,T1608.006,SEO Poisoning,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Initial Access,T1189,Drive-by Compromise,technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Execution,T1059.001,PowerShell,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Execution,T1059.003,Windows Command Shell,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Execution,T1059.005,Visual Basic,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Execution,T1059.007,JavaScript,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Privilege Escalation,T1053.005,Scheduled Task,sub-technique,"Execution, Persistence",sheet (OCR)
Part 1 BengalSEO,2026-08-24,Stealth,T1027.013,Encrypted/Encoded File,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Stealth,T1027.014,Polymorphic Code,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Stealth,T1036.008,Masquerade File Type,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Stealth,T1497,Virtualization/Sandbox Evasion,technique,Discovery,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Command and Control,T1008,Fallback Channels,technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Command and Control,T1071.001,Web Protocols,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Command and Control,T1104,Multi-Stage Channels,technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Impact,T1496.001,Compute Hijacking,sub-technique,,sheet (OCR)
Part 1 BengalSEO,2026-08-24,Impact,T1657,Financial Theft,technique,,sheet (OCR)
